ID,Title,Author,Year,Format,File
1,How to Win Friends and Influence People,Dale Carnegie,1936,PDF,How to Win Friends and Influence People.pdf
2,Atomic Habits,James Clear,2018,PDF,Atomic Habits.pdf
3,Filosofi Teras,Henry Manampiring,2018,PDF,Filosofi Teras.pdf
4,Laut Bercerita,Leila S. Chudori,2017,PDF,Laut Bercerita.pdf
5,Rich Dad Poor Dad,Robert T. Kiyosaki,1997,PDF,Rich Dad Poor Dad.pdf
6,The 4 Hour Workweek,Timothy Ferriss,2007,PDF,The 4 Hour Workweek.pdf
7,The Alchemist,Paulo Coelho,1988,PDF,The Alchemist.pdf
8,The Power of Habit,Charles Duhigg,2012,PDF,The Power of Habit.pdf
9,The Psychology of Money,Morgan Housel,2020,PDF,The Psychology of Money.pdf
10,Thinking Fast and Slow,Daniel Kahneman,2011,PDF,Thinking Fast and Slow.pdf
11,RESUME VR FAIRUZA (107),Fairuza Ainud Dawam,2025,PDF,RESUME VR FAIRUZA (107).pdf
